k,knn_time, kdtree_time
1,9,0
2,8,0
3,9,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,0
15,8,0
16,8,0
17,8,0
18,8,0
19,8,0
20,8,0
21,8,0
22,8,0
23,8,0
24,8,0
25,8,0
26,8,0
27,8,0
28,8,0
29,8,0
30,8,0
31,8,0
32,8,0
33,8,0
34,8,0
35,8,0
36,8,0
37,8,0
38,8,0
39,8,0
40,8,0
41,8,0
42,9,0
43,9,0
44,8,0
45,8,0
46,8,0
47,8,0
48,8,0
49,8,0
50,8,0
51,8,0
52,8,0
53,8,0
54,8,0
55,8,0
56,8,0
57,8,0
58,8,0
59,8,0
60,8,0
61,8,0
62,8,0
63,8,0
64,8,0
65,8,0
66,8,0
67,8,0
68,8,0
69,8,0
70,8,0
71,8,0
72,8,0
73,8,0
74,8,0
75,8,0
76,8,0
77,8,0
78,8,0
79,8,0
80,8,0
81,8,0
82,8,0
83,8,0
84,8,0
85,8,0
86,8,0
87,8,0
88,8,0
89,8,0
90,8,0
91,8,0
92,8,0
93,8,0
94,8,0
95,8,0
96,8,0
97,8,0
98,8,0
99,8,0
100,8,0
101,8,0
102,8,0
103,8,0
104,8,0
105,8,0
106,8,0
107,8,0
108,8,0
109,8,0
110,8,0
111,8,0
112,8,0
113,8,0
114,8,0
115,8,0
116,8,0
117,8,0
118,8,0
119,8,0
120,8,0
121,8,0
122,8,0
123,8,0
124,8,0
125,8,0
126,8,0
127,8,0
128,8,0
129,8,0
130,8,0
131,8,0
132,8,0
133,8,0
134,8,0
135,8,0
136,9,0
137,8,1
138,8,1
139,8,1
140,8,0
141,8,0
142,8,0
143,8,1
144,8,0
145,8,0
146,8,0
147,8,0
148,8,0
149,9,0
150,9,0
151,8,0
152,8,0
153,8,0
154,8,0
155,8,0
156,8,1
157,8,1
158,8,1
159,9,0
160,8,0
161,9,1
162,8,1
163,8,1
164,8,1
165,8,0
166,9,0
167,8,1
168,8,1
169,8,1
170,8,0
171,8,0
172,8,1
173,8,1
174,8,1
175,8,0
176,8,0
177,8,1
178,8,1
179,8,1
180,8,1
181,8,1
182,8,1
183,8,1
184,8,1
185,8,0
186,8,1
187,8,1
188,8,0
189,8,1
190,8,1
191,8,2
192,8,1
193,8,1
194,8,1
195,8,0
196,8,1
197,8,0
198,8,1
199,8,1
200,8,1
201,8,0
202,8,1
203,8,1
204,8,1
205,8,1
206,8,1
207,8,2
208,8,1
209,8,1
210,8,1
211,8,1
212,8,0
213,8,1
214,8,1
215,8,1
216,8,2
217,8,1
218,8,1
219,8,1
220,8,1
221,8,0
222,8,2
223,8,1
224,8,1
225,8,1
226,8,1
227,8,2
228,8,1
229,8,1
230,8,2
231,8,2
232,8,1
233,8,1
234,8,1
235,8,1
236,8,1
237,8,2
238,8,1
239,8,2
240,8,1
241,8,2
242,8,2
243,8,2
244,8,2
245,8,2
246,8,1
247,8,2
248,8,2
249,8,2
250,8,2
251,8,2
252,8,2
253,8,2
254,8,2
255,8,2
256,8,1
257,8,2
258,8,2
259,8,1
260,8,2
261,8,1
262,8,2
263,9,2
264,8,2
265,8,2
266,8,2
267,8,2
268,8,3
269,8,1
270,9,3
271,9,2
272,8,2
273,8,3
274,9,3
275,8,2
276,8,1
277,8,2
278,8,1
279,8,3
280,8,2
281,9,1
282,8,2
283,8,2
284,8,3
285,8,2
286,8,1
287,8,3
288,8,2
289,8,2
290,8,3
291,8,2
292,8,2
293,8,3
294,8,2
295,8,3
296,8,1
297,8,3
298,8,3
299,8,2
300,8,2
301,8,2
302,8,3
303,8,2
304,8,2
305,8,2
306,8,3
307,8,2
308,8,3
309,8,2
310,8,2
311,8,1
312,8,2
313,8,2
314,8,2
315,8,2
316,8,3
317,8,3
318,8,2
319,8,2
320,8,2
321,8,3
322,8,4
323,8,2
324,8,3
325,8,3
326,8,2
327,8,2
328,8,2
329,8,2
330,8,2
331,8,2
332,8,2
333,8,2
334,8,3
335,8,2
336,8,2
337,8,3
338,9,2
339,8,4
340,8,2
341,8,2
342,8,3
343,8,2
344,8,3
345,8,5
346,8,3
347,8,3
348,8,4
349,8,3
350,8,3
351,8,3
352,8,2
353,8,2
354,8,2
355,8,5
356,8,2
357,8,3
358,8,3
359,8,3
360,8,2
361,8,3
362,8,2
363,8,5
364,8,5
365,8,4
366,8,4
367,8,4
368,8,4
369,8,5
370,8,5
371,8,5
372,8,5
373,8,3
374,8,4
375,8,3
376,8,4
377,9,5
378,8,3
379,8,3
380,8,2
381,8,4
382,8,8
383,8,3
384,8,2
385,8,5
386,8,5
387,8,3
388,8,5
389,8,4
390,8,2
391,8,4
392,8,2
393,8,4
394,8,4
395,8,6
396,8,4
397,8,4
398,8,4
399,9,6
400,8,5
401,8,3
402,8,6
403,8,4
404,8,3
405,8,4
406,8,3
407,8,4
408,8,6
409,8,4
410,8,4
411,8,6
412,8,4
413,8,4
414,8,4
415,8,7
416,8,4
417,9,3
418,8,4
419,8,8
420,8,4
421,8,4
422,8,6
423,9,5
424,8,4
425,8,5
426,8,7
427,8,4
428,9,3
429,8,5
430,8,5
431,8,5
432,8,9
433,9,8
434,8,5
435,8,4
436,8,5
437,9,8
438,9,5
439,8,7
440,8,8
441,8,9
442,8,6
443,8,5
444,8,4
445,8,7
446,8,5
447,8,5
448,8,4
449,8,6
450,8,4
451,8,7
452,8,3
453,8,7
454,8,8
455,8,8
456,8,6
457,8,5
458,8,6
459,8,6
460,8,5
461,8,6
462,8,5
463,8,5
464,8,6
465,8,7
466,8,8
467,8,6
468,8,6
469,8,7
470,8,3
471,8,4
472,8,4
473,8,9
474,8,3
475,9,3
476,8,4
477,8,6
478,8,8
479,9,6
480,8,9
481,8,8
482,9,5
483,8,7
484,8,6
485,8,7
486,8,6
487,8,7
488,8,4
489,8,5
490,8,4
491,8,10
492,8,4
493,8,7
494,8,6
495,8,7
496,9,7
497,8,7
498,9,6
499,8,6
500,8,7
501,8,8
502,8,7
503,8,4
504,8,5
505,8,8
506,8,7
507,8,5
508,8,8
509,8,5
510,8,10
511,8,8
512,8,7
513,8,8
514,8,9
515,8,4
516,8,7
517,8,5
518,8,5
519,8,5
520,8,8
521,8,7
522,8,12
523,8,5
524,8,10
525,8,5
526,8,7
527,8,6
528,8,7
529,8,6
530,8,6
531,8,6
532,8,5
533,8,10
534,8,7
535,8,9
536,8,9
537,8,8
538,8,10
539,8,9
540,8,7
541,8,8
542,8,6
543,8,8
544,8,7
545,8,6
546,8,5
547,8,12
548,8,9
549,8,6
550,8,7
551,8,7
552,8,5
553,8,4
554,8,8
555,8,8
556,8,15
557,8,11
558,8,7
559,8,6
560,8,8
561,8,6
562,8,11
563,8,8
564,8,11
565,8,7
566,8,6
567,8,6
568,8,9
569,8,6
570,8,7
571,8,8
572,8,12
573,8,10
574,8,13
575,8,7
576,8,9
577,8,6
578,8,9
579,8,8
580,8,10
581,8,9
582,8,7
583,8,10
584,8,8
585,8,8
586,8,6
587,8,10
588,8,14
589,8,10
590,8,7
591,8,8
592,8,8
593,8,7
594,8,10
595,8,10
596,8,9
597,8,13
598,8,7
599,8,11
600,9,11
601,8,15
602,8,6
603,8,9
604,8,12
605,8,14
606,8,10
607,8,11
608,8,12
609,8,10
610,8,8
611,8,9
612,8,8
613,8,11
614,8,5
615,8,7
616,9,9
617,8,11
618,8,11
619,8,9
620,8,9
621,8,10
622,8,12
623,8,10
624,8,9
625,8,11
626,8,10
627,8,9
628,8,10
629,8,11
630,8,8
631,9,10
632,8,9
633,8,10
634,8,8
635,8,5
636,8,8
637,8,12
638,8,9
639,8,9
640,8,8
641,8,9
642,8,12
643,8,14
644,8,13
645,8,11
646,8,9
647,8,16
648,8,9
649,8,10
650,8,13
651,8,9
652,8,9
653,8,11
654,8,14
655,8,15
656,8,13
657,8,15
658,8,9
659,8,15
660,8,15
661,8,22
662,8,11
663,8,12
664,8,15
665,8,6
666,8,10
667,8,13
668,8,13
669,8,10
670,8,12
671,8,12
672,8,14
673,8,14
674,8,18
675,8,12
676,8,13
677,8,8
678,8,7
679,8,12
680,8,9
681,8,8
682,8,10
683,8,12
684,8,13
685,8,9
686,8,18
687,8,13
688,8,13
689,8,8
690,8,15
691,8,16
692,8,7
693,8,17
694,8,12
695,8,12
696,8,8
697,8,11
698,8,21
699,8,17
700,8,14
701,8,11
702,8,12
703,8,12
704,8,17
705,8,13
706,8,9
707,8,14
708,8,17
709,8,13
710,8,10
711,8,12
712,8,11
713,8,12
714,8,17
715,8,16
716,9,12
717,8,20
718,8,16
719,8,12
720,8,8
721,8,12
722,8,24
723,8,11
724,8,12
725,8,10
726,8,14
727,8,13
728,8,14
729,8,11
730,8,17
731,8,16
732,8,12
733,8,26
734,8,19
735,8,8
736,8,8
737,8,13
738,8,19
739,8,8
740,8,16
741,8,15
742,8,14
743,8,19
744,8,17
745,8,12
746,8,14
747,8,14
748,8,13
749,8,17
750,8,13
751,8,9
752,8,17
753,8,17
754,8,12
755,8,21
756,8,18
757,8,16
758,8,11
759,8,11
760,8,12
761,8,9
762,8,12
763,8,15
764,8,10
765,8,15
766,8,14
767,8,9
768,8,13
769,8,16
770,8,13
771,8,11
772,8,17
773,8,12
774,8,11
775,8,16
776,8,9
777,8,10
778,8,12
779,8,15
780,8,10
781,8,16
782,8,14
783,8,25
784,8,12
785,8,18
786,9,13
787,8,16
788,8,13
789,8,14
790,8,10
791,8,12
792,8,9
793,8,21
794,8,19
795,8,15
796,8,18
797,8,13
798,8,11
799,8,10
800,8,14
801,8,14
802,8,12
803,8,17
804,8,19
805,8,14
806,8,14
807,8,13
808,8,13
809,8,16
810,8,18
811,8,17
812,8,19
813,8,22
814,8,25
815,8,12
816,8,12
817,8,23
818,8,16
819,8,19
820,8,17
821,8,13
822,8,22
823,8,11
824,8,24
825,8,16
826,8,12
827,8,14
828,8,21
829,8,17
830,8,13
831,8,14
832,8,17
833,8,19
834,8,32
835,8,18
836,9,17
837,9,16
838,8,22
839,8,24
840,8,21
841,8,23
842,8,16
843,8,14
844,8,11
845,8,15
846,8,14
847,8,15
848,8,13
849,8,18
850,8,10
851,9,16
852,9,19
853,9,15
854,8,12
855,8,26
856,8,28
857,8,19
858,8,11
859,8,12
860,8,16
861,8,22
862,8,27
863,8,15
864,8,11
865,8,19
866,8,25
867,8,40
868,8,24
869,8,16
870,8,11
871,8,22
872,8,15
873,8,16
874,8,15
875,8,14
876,8,29
877,8,27
878,8,16
879,8,18
880,8,13
881,8,11
882,8,13
883,8,26
884,8,17
885,8,21
886,8,17
887,8,20
888,8,18
889,8,23
890,8,14
891,8,13
892,8,17
893,8,19
894,8,15
895,8,18
896,8,19
897,8,25
898,8,18
899,8,29
900,8,14
901,8,25
902,8,17
903,8,20
904,8,26
905,8,13
906,8,21
907,8,26
908,8,31
909,8,29
910,8,17
911,8,16
912,8,27
913,8,35
914,8,17
915,8,20
916,8,22
917,8,29
918,8,34
919,8,24
920,8,27
921,8,27
922,8,11
923,8,25
924,8,23
925,8,25
926,8,30
927,8,25
928,8,42
929,8,21
930,8,22
931,8,21
932,8,16
933,8,20
934,8,16
935,8,16
936,8,21
937,8,21
938,8,35
939,8,20
940,8,23
941,8,15
942,8,24
943,8,21
944,8,13
945,8,21
946,8,29
947,8,24
948,8,21
949,8,15
950,8,37
951,8,23
952,8,20
953,8,32
954,8,24
955,8,17
956,8,33
957,8,25
958,8,27
959,8,24
960,8,29
961,8,25
962,8,31
963,8,23
964,8,29
965,8,19
966,8,43
967,8,15
968,8,20
969,8,20
970,8,22
971,8,15
972,8,24
973,8,34
974,8,19
975,8,24
976,8,27
977,8,22
978,8,24
979,8,24
980,8,27
981,8,15
982,8,21
983,8,26
984,8,28
985,8,21
986,8,25
987,8,28
988,8,24
989,8,19
990,8,21
991,8,14
992,8,32
993,8,14
994,8,35
995,8,26
996,8,27
997,8,15
998,8,43
999,8,15
1000,8,20
