x,y
106.143,18.3251
108.052,14.7029
120.435,12.7502
121.951,20.3878
125.065,19.6427
125.271,19.7021
125.548,0.239732
125.874,53.5898
126.699,33.9067
127.019,9.67984
127.489,37.5772
128.123,50.2323
128.478,10.4844
128.762,8.83903
128.768,30.5338
128.875,36.5189
128.886,44.2019
128.975,18.5371
129.213,38.3009
129.371,10.2615
129.399,53.2524
129.497,8.16052
129.609,26.5415
129.86,8.88122
129.862,56.7015
129.921,43.2116
129.977,48.7746
130.51,17.0412
130.528,56.6923
130.637,55.8495
130.743,33.5586
130.988,29.1227
131.071,22.5303
131.323,43.0384
131.356,37.2871
131.607,47.5113
131.955,45.5262
132.132,22.5901
132.161,32.489
132.315,33.7951
132.606,27.7339
132.639,70.7779
132.813,6.82344
132.872,9.95343
133.057,51.6214
133.257,49.7865
133.384,29.0932
133.397,10.3148
133.428,19.6602
133.715,22.6291
133.753,54.0871
134.27,40.7098
134.304,24.7418
134.356,66.8118
134.678,8.34875
134.763,49.5596
134.932,9.05444
134.964,57.4932
134.989,18.174
135.067,28.8907
135.15,8.10868
135.158,42.27
135.229,23.7206
135.476,59.1237
135.609,56.7994
135.957,38.2431
135.965,13.5535
135.975,55.8672
136.561,65.136
136.786,1.05015
136.862,40.7958
137.037,14.3447
137.276,14.8101
137.576,55.9651
137.636,33.4401
137.881,74.4621
138.58,56.2048
138.714,40.5357
138.74,55.3523
138.775,40.0439
138.803,55.8698
138.825,63.3845
139.011,9.37074
139.037,53.0848
139.067,7.6391
139.493,1.63575
139.537,54.7895
139.669,31.5994
140.383,28.683
140.898,46.5544
141.254,3.08677
141.714,45.9416
141.905,4.59203
142.225,32.2937
142.319,3.98029
142.321,25.8513
142.342,45.6973
142.377,18.4497
142.66,33.9026
142.685,43.4272
142.779,2.50652
142.846,22.0972
142.955,67.3232
143.099,67.2754
143.366,2.89161
143.567,21.6013
143.928,29.4211
144.306,54.4649
144.672,9.17483
145.171,47.1474
145.188,47.6797
145.451,19.1161
145.559,17.3619
145.588,8.96103
145.749,65.8084
146.047,37.5761
146.208,16.3086
146.607,35.0895
146.866,59.779
146.962,52.4534
147.212,60.4709
147.257,26.0229
147.439,41.8108
147.447,38.5719
147.469,32.7271
147.512,36.87
147.517,22.58
147.849,53.7809
147.951,7.18427
148.284,30.929
148.312,29.2989
148.475,17.9833
148.602,46.9277
148.672,40.631
148.681,18.1124
148.891,65.0779
149.185,21.2693
149.202,78.2029
149.738,19.9599
149.937,9.74182
150.253,61.5027
150.322,50.8961
150.416,63.1954
150.495,56.9073
150.739,22.7849
151.319,36.2565
151.5,63.2417
151.771,25.2261
151.794,60.299
152.284,61.4719
152.29,45.0542
152.345,37.5264
152.384,63.859
152.786,58.3382
153.757,30.4907
153.841,72.7133
154.009,30.279
154.437,54.0277
154.584,52.6346
155.184,61.5363
155.371,69.7734
155.465,61.6084
155.766,58.7399
156.356,78.0902
156.402,74.9896
156.992,77.1613
157.046,56.8062
157.285,64.3189
157.543,52.2861
