Epoch,Loss,Accuracy,TestAccuracy,LearningRate
1,0.0636358,0.601723,0.605671,0.095
2,0.0594696,0.645957,0.695118,0.09025
3,0.0571345,0.659587,0.703888,0.0857375
4,0.0535973,0.692951,0.706811,0.0814506
5,0.0519108,0.695041,0.706519,0.0773781
6,0.0528232,0.690191,0.712949,0.0735092
7,0.0555821,0.691111,0.635487,0.0698337
8,0.0548001,0.665524,0.682257,0.066342
9,0.0520697,0.697968,0.697457,0.0630249
10,0.0508228,0.709758,0.695703,0.0598737
11,0.0496713,0.715444,0.686057,0.05688
12,0.0491106,0.707166,0.683134,0.054036
13,0.054387,0.683753,0.688688,0.0513342
14,0.0494316,0.721549,0.693949,0.0487675
15,0.0502324,0.718287,0.678457,0.0463291
16,0.0500219,0.715946,0.686934,0.0440127
17,0.0496497,0.718622,0.685764,0.041812
18,0.0497916,0.721214,0.68021,0.0397214
19,0.0492243,0.718956,0.674657,0.0377354
20,0.0487372,0.721716,0.675826,0.0358486
21,0.0491542,0.702149,0.674657,0.0340562
22,0.0492791,0.700142,0,0.0323534
23,0.0502472,0.69454,0,0.0307357
24,0.0498082,0.703821,0,0.0291989
25,0.0485898,0.716281,0,0.027739
26,0.0487025,0.714692,0,0.026352
27,0.050045,0.709842,0,0.0250344
28,0.0544967,0.663601,0,0.0237827
29,0.0565229,0.638766,0,0.0225936
30,0.0568723,0.632745,0,0.0214639
31,0.0552805,0.644285,0,0.0203907
32,0.0546113,0.66243,0,0.0193711
33,0.0536246,0.67029,0,0.0184026
34,0.0532724,0.670875,0,0.0174825
35,0.0523213,0.678234,0,0.0166083
36,0.0516346,0.682833,0,0.0157779
37,0.0506622,0.695878,0,0.014989
38,0.0511301,0.688268,0,0.0142396
39,0.0508759,0.68693,0,0.0135276
40,0.0502413,0.695878,0,0.0128512
41,0.0497307,0.696965,0,0.0122087
42,0.049133,0.697215,0,0.0115982
43,0.0489003,0.69939,0,0.0110183
44,0.0489826,0.700142,0,0.0104674
45,0.049059,0.69939,0,0.00994403
46,0.0494597,0.695961,0,0.00944682
47,0.0496088,0.695878,0,0.00897448
48,0.0500422,0.691697,0,0.00852576
49,0.0505561,0.687516,0,0.00809947
50,0.0505322,0.687599,0,0.0076945
51,0.0507716,0.686011,0,0.00730977
52,0.0507894,0.685258,0,0.00694428
53,0.0507733,0.682749,0,0.00659707
54,0.0504593,0.687348,0,0.00626722
55,0.0499723,0.695125,0,0.00595386
56,0.0498953,0.697383,0,0.00565616
57,0.0498663,0.701647,0,0.00537335
58,0.0497963,0.704407,0,0.00510469
59,0.0497172,0.707417,0,0.00484945
60,0.0497405,0.709089,0,0.00460698
61,0.0499099,0.707751,0,0.00437663
62,0.0500598,0.70817,0,0.0041578
63,0.050383,0.70449,0,0.00394991
64,0.0508304,0.700393,0,0.00375241
65,0.0509643,0.698721,0,0.00356479
66,0.0511651,0.695878,0,0.00338655
67,0.051347,0.694456,0,0.00321723
68,0.0514256,0.692198,0,0.00305636
69,0.0514086,0.692366,0,0.00290355
70,0.0512901,0.693871,0,0.00275837
71,0.0512965,0.693787,0,0.00262045
72,0.0512265,0.694623,0,0.00248943
73,0.0509491,0.696714,0,0.00236496
74,0.0510363,0.697215,0,0.00224671
75,0.0512651,0.694791,0,0.00213437
76,0.0514455,0.694372,0,0.00202765
77,0.0515972,0.692533,0,0.00192627
78,0.051635,0.693202,0,0.00182996
79,0.0518021,0.691697,0,0.00173846
80,0.0518796,0.690526,0,0.00165154
81,0.0520123,0.69362,0,0.00156896
82,0.0521247,0.691613,0,0.00149051
83,0.052202,0.689857,0,0.00141599
84,0.0522798,0.688435,0,0.00134519
85,0.0524088,0.686679,0,0.00127793
86,0.0524074,0.686094,0,0.00121403
87,0.0524202,0.685174,0,0.00115333
88,0.0524451,0.684004,0,0.00109566
89,0.0524767,0.68392,0,0.00104088
90,0.0525302,0.682833,0,0.000988836
91,0.0525808,0.681411,0,0.000939395
92,0.0526074,0.680575,0,0.000892425
93,0.0526252,0.680157,0,0.000847804
94,0.0526392,0.679739,0,0.000805413
95,0.0526619,0.685592,0,0.000765143
96,0.0526974,0.684505,0,0.000726886
97,0.0526995,0.684171,0,0.000690541
98,0.0527001,0.684589,0,0.000656014
99,0.0527253,0.684255,0,0.000623214
100,0.0527612,0.683,0,0.000592053
